,ticker,year,month,Stock Price on day of recommendation,Stock Price after 4 weeks,Rating_Category,Value,transaction_type_category,percentage_of_market_cap
0,A,2012,2,28.7265110015869,30.056978225708,1.0,-206406,0.0,5.047269050550099e-06
1,A,2012,3,27.7106266021728,29.4481506347656,1.0,-757262,0.0,1.8517430084614036e-05
2,A,2012,4,27.5366134643554,26.0323429107666,1.0,-222550,0.0,5.442042728429393e-06
3,A,2012,8,24.734063625335665,25.2683815956115,1.0,65306,1.0,1.5968758005757147e-06
4,A,2012,11,24.1602849960327,27.2242755889892,1.0,-3864977,0.0,9.451073243031231e-05
5,A,2013,1,29.0402565002441,29.5102481842041,1.0,-475321,0.0,1.1623087227349467e-05
6,A,2013,3,28.448896408081037,27.1560611724853,1.0,-3086358,0.0,7.547110466172727e-05
7,A,2013,5,30.3248596191406,29.1564788818359,1.0,-847481,0.0,2.0723557668441443e-05
8,A,2013,6,28.2005214691162,30.9354705810546,1.0,-1931679,0.0,4.723558547188904e-05
9,A,2013,9,34.4570668538411,35.28172556559237,1.0,-14174407,0.0,0.000346608538690565
10,A,2013,11,36.6518096923828,36.8052711486816,1.0,-9139032,0.0,0.00022347789496636634
11,A,2013,12,36.8719978332519,39.0635643005371,1.0,-5266612,0.0,0.0001287788954896865
12,A,2014,9,38.7370452880859,38.0997619628906,1.0,-34716378,0.0,0.0008489238964716223
13,A,2015,2,39.8306922912597,38.5187339782714,1.0,-3753849,0.0,9.179580943067205e-05
14,A,2015,3,38.3488426208496,40.1558799743652,1.0,-7032041,0.0,0.00017195546315096943
15,A,2016,5,42.078868865966754,44.403556823730455,1.0,-9737422,0.0,0.00023811315492239872
16,A,2016,8,44.8131065368652,43.5853462219238,1.0,-1380842,0.0,3.376589516046057e-05
17,A,2017,1,45.4209556579589,47.5039634704589,1.0,-1079416,0.0,2.6395093209392685e-05
18,A,2017,3,52.1714210510253,50.8024444580078,1.0,-633910,0.0,1.550065870142841e-05
19,A,2017,7,58.6134815216064,57.50894546508785,1.0,-306300,0.0,7.48999185674196e-06
20,A,2017,8,60.35993385314935,63.5621261596679,1.0,-7979187,0.0,0.00019511605020473813
21,A,2017,9,64.0247802734375,64.962532043457,1.0,-2509552,0.0,6.136639484318501e-05
22,A,2017,11,65.4965362548828,65.1081619262695,1.0,-9257858,0.0,0.00022638300213730162
23,A,2018,1,66.9454193115234,70.8667678833007,1.0,-6282085,0.0,0.0001536166029819158
24,A,2018,11,66.1453170776367,66.6057510375976,1.0,-106590,0.0,2.6064584786487937e-06
25,A,2019,1,62.1351318359375,74.6859054565429,1.0,-1311825,0.0,3.207821928655084e-05
26,A,2019,2,76.09024810791016,79.5127372741699,1.0,-2644773,0.0,6.46729562854485e-05
27,A,2019,3,79.42435073852535,77.0232315063476,1.0,-2575906,0.0,6.29889628074699e-05
28,A,2019,11,78.67831039428705,83.52127075195305,1.0,-4013204,0.0,9.813538451009145e-05
29,A,2020,1,84.68313980102535,83.4203186035156,1.0,-1251570,0.0,3.06047963047422e-05
30,A,2020,2,82.13273620605464,65.4882946014404,1.0,-80024,0.0,1.956738976090407e-06
31,A,2020,3,70.33319854736321,76.4220250447591,1.0,-527926,0.0,1.2909443322106484e-05
32,A,2020,4,71.7815551757812,76.1208343505859,1.0,-1742357,0.0,4.260846706216009e-05
33,A,2020,5,84.3823089599609,88.1059341430664,1.0,-3875728,0.0,9.477318707575355e-05
34,A,2020,7,94.7388763427734,97.0275039672851,1.0,-6963575,0.0,0.0001702740504556
35,A,2020,8,97.4752655029296,99.4255676269531,1.0,-1256252,0.0,3.071973748013514e-05
36,A,2020,11,112.72001139322867,116.85692342122367,1.0,-2910416,0.0,7.11690286681132e-05
37,A,2020,12,118.435256958007,125.968322753906,1.0,-9925910,0.0,0.0002427195184986
38,AAL,2013,12,23.9079208374023,26.571167945861752,1.0,-213538,0.0,2.2831925135607436e-05
39,AAL,2014,1,31.0916137695312,34.6457481384277,1.0,-19511264,0.0,0.0020864078207153
40,AAL,2014,2,32.0154953002929,34.032958984375,1.0,-64605478,0.0,0.0069086145118089385
41,AAL,2015,1,47.5788841247558,46.5786972045898,1.0,4028,1.0,4.3071707906400766e-07
42,AAL,2015,2,48.9142837524414,51.2023887634277,1.0,-325084,0.0,3.476326747266501e-05
43,AAL,2015,4,47.8889007568359,46.4078025817871,1.0,-12985729,0.0,0.0013883877495437
44,AAL,2015,6,38.975228309631305,38.095207214355426,1.0,-2374771,0.0,0.0002539515015225
45,AAL,2015,7,38.1879653930664,35.8740234375,1.0,-2220973,0.0,0.000237493749473
46,AAL,2015,9,38.48208427429195,37.194742202758746,1.0,-2350059,0.0,0.0002512732657837
47,AAL,2015,10,41.6003227233886,42.593126296997,1.0,-2998478,0.0,0.0003205971012815551
48,AAL,2016,1,38.2927112579345,37.73888778686515,1.0,-2620016,0.0,0.0002801471352826
49,AAL,2016,2,37.074268341064396,39.7100048065185,1.0,-6426279,0.0,0.0006871244016704
50,AAL,2016,3,39.0807495117187,37.35270945231117,1.0,-2396713,0.0,0.00025629462792392733
51,AAL,2016,4,36.69630146026608,31.9299993515014,1.0,-193635,0.0,2.0704741095253135e-05
52,AAL,2016,6,28.0042171478271,34.4815139770507,0.0,96390,1.0,1.0306697197957294e-05
53,AAL,2016,7,32.83047866821284,34.06807556152338,0.6,-1355000,0.0,0.0001449075219698
54,AAL,2016,9,33.4184036254882,39.1632423400878,1.0,-1113432,0.0,0.00011905256416854083
